provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
1375,"Amber T Thomas, PA-C",2623047525,NA,NA,NA,NA,NA,83276650497,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
430,"Georges P Whitaker, MD",2657259251,NA,NA,NA,NA,NA,33150084496,OTORHINOLARYNGOLOGY,NA,male,NA
1050,"Eden B Wynn, PA-C",1199718584,NA,NA,NA,NA,NA,65332893694,ONCOLOGY,NA,male,NA
773,"Ruth M Kelly, PA-C",1178936413,NA,NA,NA,NA,NA,53023306630,RHEUMATOLOGY,NA,female,NA
1056,"Rajah G Thornton, RPh",1305567156,NA,NA,NA,NA,NA,65590935988,NA,NA,male,NA
115,Leila D Clarke,2213613637,NA,NA,NA,NA,NA,15855962356,NA,NA,female,NA
1700,"Whilemina O Boyer, PA-C",1738905841,NA,NA,NA,NA,NA,98359372112,HEMATOLOGY,NA,female,NA
1005,"Blair I Ramsey, NP",1052138664,NA,NA,NA,NA,NA,63390488795,SURGERY,NA,male,NA
1624,"Eden P Trujillo, PA-C",1108554856,NA,NA,NA,NA,NA,94626271031,NEPHROLOGY,NA,male,NA
422,"Cecilia L Morton, MD",1674463896,NA,NA,NA,NA,NA,32637505028,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
682,"Dara R Salas, PA-C",1354268094,NA,NA,NA,NA,NA,47401960116,CARDIOLOGY,NA,female,NA
254,"Driscoll L Pace, NP",2081608198,NA,NA,NA,NA,NA,23246332040,OB/GYN,NA,male,NA
1321,"Wyatt T English, NP",1379523614,NA,NA,NA,NA,NA,80346692333,EMERGENCY MEDICINE,NA,male,NA
1653,"Sandra J Nguyen, NP",1217108990,NA,NA,NA,NA,NA,95929916672,PSYCHOLOGY,NA,female,NA
1710,"Jean-Jacques J Beach, PA-C",1438106435,NA,NA,NA,NA,NA,99012388040,NEUROLOGY,NA,male,NA
898,"Paul M Graves, MD",2027131859,NA,NA,NA,NA,NA,58664822129,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1140,"Zack J Villarreal, MD",2169127442,NA,NA,NA,NA,NA,70230875359,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1714,"Aline-Marie E Oliver, PA-C",2143178636,NA,NA,NA,NA,NA,99276797383,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1106,"Marie A Neal, PA-C",1258365962,NA,NA,NA,NA,NA,68532331507,PULMONARY DISEASE,NA,female,NA
1583,"Cole E Baldwin, PA-C",1396534727,NA,NA,NA,NA,NA,93093685784,GASTROENTEROLOGY,NA,male,NA
341,"Timothée G Chang, MD",1247938788,NA,NA,NA,NA,NA,27802900323,INTERNAL MEDICINE,NA,male,NA
629,"Marybel M Byrd, MD",2833163914,NA,NA,NA,NA,NA,44206652244,OTORHINOLARYNGOLOGY,NA,female,NA
782,Nataniel F Finch,1999352485,NA,NA,NA,NA,NA,53365212388,NA,NA,male,NA
1692,"Julien M Baldwin, NP",1898022932,NA,NA,NA,NA,NA,97946147495,OTORHINOLARYNGOLOGY,NA,male,NA
996,"Steven L Hunt, PA-C",1479435057,NA,NA,NA,NA,NA,63033721294,ENDOCRINOLOGY,NA,male,NA
968,Tasha V Barr,1708300858,NA,NA,NA,NA,NA,61786074538,NA,NA,female,NA
298,"Jérôme R Everett, MD",2392733644,NA,NA,NA,NA,NA,25718853376,ONCOLOGY,NA,male,NA
653,"Kaseem J Conner, MD",1250486675,NA,NA,NA,NA,NA,45396822318,OTORHINOLARYNGOLOGY,NA,male,NA
1461,Wyoming H Morrow,1476319809,NA,NA,NA,NA,NA,87703758112,NA,NA,female,NA
1499,"Keaton M Mueller, NP",1918596139,NA,NA,NA,NA,NA,89396886384,OTORHINOLARYNGOLOGY,NA,male,NA
105,Ian C Dotson,2004092710,NA,NA,NA,NA,NA,15207779172,NA,NA,male,NA
1592,"Jéronim D Franks, RPh",1424655395,NA,NA,NA,NA,NA,93243455140,NA,NA,male,NA
1082,"Jenette E Rollins, PA-C",1586365494,NA,NA,NA,NA,NA,67361188283,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1441,"Nell H Rush, NP",1450957988,NA,NA,NA,NA,NA,86589919178,OTORHINOLARYNGOLOGY,NA,female,NA
1098,"Barbara Z Lynn, NP",2489651949,NA,NA,NA,NA,NA,68165284167,EMERGENCY MEDICINE,NA,female,NA
1008,"Derek L Kirkland, MD",2839783590,NA,NA,NA,NA,NA,63466158222,ONCOLOGY,NA,male,NA
398,Molly P Lowery,2287928275,NA,NA,NA,NA,NA,31051592467,NA,NA,female,NA
454,"Reese J Sloan, MD",1935159283,NA,NA,NA,NA,NA,34561666632,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1059,"Nicolas M Good, PA-C",1642894412,NA,NA,NA,NA,NA,65843553277,OTORHINOLARYNGOLOGY,NA,male,NA
1150,"Jeanette L Keith, NP",1962258461,NA,NA,NA,NA,NA,70750482039,SURGERY,NA,female,NA
81,Cedric T Olson,2730414931,NA,NA,NA,NA,NA,13818938169,NA,NA,male,NA
1436,"Tyrone R Brady, MD",2030729384,NA,NA,NA,NA,NA,86017875287,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1316,"Kiona F Stout, PA-C",2882463850,NA,NA,NA,NA,NA,80137508361,OTORHINOLARYNGOLOGY,NA,female,NA
214,Bradley X Shaw,1936230075,NA,NA,NA,NA,NA,20780470925,NA,NA,male,NA
18,"Wyoming C Cote, MD",2749723173,NA,NA,NA,NA,NA,11089786891,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
391,"Colin J Bryant, NP",2602137925,NA,NA,NA,NA,NA,30610776918,OTORHINOLARYNGOLOGY,NA,male,NA
1009,"Nero S Bauer, MD",1507199535,NA,NA,NA,NA,NA,63607056605,ONCOLOGY,NA,male,NA
155,Cadman W Romero,1860920857,NA,NA,NA,NA,NA,17513692984,NA,NA,male,NA
261,"Mattie C Le, NP",1644829275,NA,NA,NA,NA,NA,23545695667,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1678,"Abraham O Mayer, MD",2855512337,NA,NA,NA,NA,NA,97232363682,OTORHINOLARYNGOLOGY,NA,male,NA
713,"Lysandre É Alvarado, RPh",2423450929,NA,NA,NA,NA,NA,49629384111,NA,NA,male,NA
964,Vera G Reed,2654902218,NA,NA,NA,NA,NA,61442816809,NA,NA,female,NA
1121,"Esperie C Everett, MD",2035407036,NA,NA,NA,NA,NA,69138019208,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
690,"Felix H Morris, NP",1651792416,NA,NA,NA,NA,NA,48035062130,OTORHINOLARYNGOLOGY,NA,male,NA
764,"Phébe N Flores, NP",2518026618,NA,NA,NA,NA,NA,52761629162,EMERGENCY MEDICINE,NA,female,NA
1061,"Henry J Blackburn, PA-C",2323209383,NA,NA,NA,NA,NA,65912451552,ONCOLOGY,NA,male,NA
1557,Daniel X Zimmerman,1157116219,NA,NA,NA,NA,NA,91695372061,NA,NA,male,NA
172,"Joy K Moreno, PA-C",1742292806,NA,NA,NA,NA,NA,18327303480,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1485,"Brady M Raymond, PA-C",2005081423,NA,NA,NA,NA,NA,88953983368,OTORHINOLARYNGOLOGY,NA,male,NA
479,Olivie A Valdez,1535273922,NA,NA,NA,NA,NA,35781378310,NA,NA,female,NA
377,"Charde M Cote, NP",1658379829,NA,NA,NA,NA,NA,29763458629,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1226,"Jason J Mckenzie, PA-C",1903798542,NA,NA,NA,NA,NA,75223982654,OTORHINOLARYNGOLOGY,NA,male,NA
41,"Catherine F Clark, MD",1252637093,NA,NA,NA,NA,NA,11873470664,SURGERY,NA,female,NA
140,"Inez A Holman, NP",1842196758,NA,NA,NA,NA,NA,17075537540,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
279,"Odette D Parsons, NP",2043106018,NA,NA,NA,NA,NA,24349310438,OTORHINOLARYNGOLOGY,NA,female,NA
1411,Garth J Chase,2630222202,NA,NA,NA,NA,NA,85002538114,NA,NA,male,NA
1010,"Célestine E Christensen, PA-C",1491015663,NA,NA,NA,NA,NA,63737181886,ONCOLOGY,NA,female,NA
749,"Genevieve H Duke, RPh",2863802225,NA,NA,NA,NA,NA,51543159054,NA,NA,female,NA
1100,"Girard J Diaz, NP",1879139986,NA,NA,NA,NA,NA,68303320377,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
89,"Agnès C Gross, MD",2904661127,NA,NA,NA,NA,NA,14346876910,OTORHINOLARYNGOLOGY,NA,female,NA
722,Gareth B Marquez,1255733345,NA,NA,NA,NA,NA,50058077057,NA,NA,male,NA
1224,"Xerxes B Dyer, NP",2152176356,NA,NA,NA,NA,NA,75086475143,PULMONARY DISEASE,NA,male,NA
